year,context,target,task_a_label,task_b_label,task_b_stdev,id
2016,"Durch den gezielten Aufbau von Strukturen, Know-How und Kooperationen stärken wir die Innovationskraft und sichern damit die zukünftigen Erfolge unserer Kunden. Eine darüber hinausgehende Analyse von sozialen und ökologischen Wirkungen der Tätigkeit von [NAME] scheint uns angesichts unseres Tätigkeitsfeldes und unserer Reichweite weder möglich noch sinnvoll. Gleiches gilt für die Stellung in der Wertschöpfungskette (Endverbraucher, siehe auch Punkt 4).","Ein Produktlebenszyklus im eigentlichen Sinne liegt nicht vor, da [NAME] keine materiellen Güter plant oder produziert.",10,0.8333333333333333,0.16666666666666669,0r2
2016,"Wir hören unseren Kunden zu und behandeln sie fair. Wir helfen unseren Kunden, ihren Energieverbrauch zu optimieren. Wir errichten und integrieren erneuerbare Erzeugungskapazitäten.",Wir schützen die Gesundheit und sorgen für die Sicherheit unserer Kunden und Kollegen.,2,0.16666666666666666,0.16666666666666666,1r2
2016,"Auch kurzfristig können Mitarbeitende, wenn Kunden und Teammitglieder dies tragen, Arbeitstage tauschen oder Mehrarbeit kurzfristig ausgleichen. Die aktuellen Geschäftszahlen wie BWA und Liquiditätsstand werden zweimonatlich vom GF den Beratern berichtet. Die Berater sind selbst über eine Datei an der Liquiditätsplanung beteiligt und gegenüber allen Kollegen zu sämtlichen Geschäftszahlen auskunftsberechtigt.",Auf diese Weise wird der aktuelle wirtschaftliche Rahmen allen Mitarbeitenden transparent gemacht.,14,0.7777777777777778,0.31426968052735443,1r3
2016,"Daher agiert [NAME] in Netzwerken und forciert den Wissens- und Praxistransfer als Promotor und Antreiber. Das Unternehmen bringt Menschen, Wissen, Theorie und Praxis zusammen. [NAME] bietet den Kunden hierzu umfassende Dienstleistungen: Business-Coaching, Training, Beratung, Dozenten- und Referententätigkeit sowie Veröffentlichungen zu werteorientierter Unternehmensführung, Nachhaltigkeit und CSR.",Die Begleitung von Unternehmen und Organisationen erfolgt in allen Feldern: von der Strategie-Analyse über den konkreten Aufbau und das Reporting bis hin zur Weiterentwicklung.,10,0.4444444444444444,0.41573970964154905,2r3
2016,"Weiterhin ist es möglich, Weiterbildungen auch zu diesen Themen in Anspruch zu nehmen. Umfangreiche Materialien (Bücher sowie z.B. das Forever young-Seminar auf DVD) sind alternativ im Unternehmen zur Nutzung für alle Mitarbeiter verfügbar. Gesundheitsvorsorge für die Mitarbeiter: Das Unternehmen organisiert wöchentliche Massagen in den Geschäftsräumen und trägt hierfür 50% der Kosten im Rahmen der Gesundheitsvorsorge.",Zudem werden hausintern regelmäßig bewegte Pausen angeboten und erfreuen sich zunehmender Teilnahme.,15,0.8888888888888888,0.15713484026367724,3r3
2016,"Im Vordergrund des Forums stehen der Erfahrungsaustausch mit anderen Unternehmen und die Konzeption neuer Ansätze zur beruflichen Integration von Menschen mit Behinderung. [NAME] ist Partner des Projekts InkluJobs. Mit InkluJobs hat das [NAME] gemeinsam mit der Firma [NAME], gefördert durch das [NAME], der [NAME] und den [NAME], ein Inklusionsprogramm für den Mittelstand geschaffen.",[NAME] beteiligt sich seit dem Jahr 2015 an diesem Programm.,15,0.8888888888888888,0.15713484026367724,4r3
2016,"Für die Kommunikation mit Kunden, Partnern und Lieferanten nutzen wir unsere Website sowie einen ca. 6 mal jährlich erscheinenden Newsletter, bei besonderen Anlässen auch Pressemitteilungen. In der Kommunikation mit unseren (potentiellen) Kunden nutzen wir zusätzlich jährlich eine Frühjahrs- und Herbsttagung zur Information über aktuelle Themen. Die Kommunikation mit den Mitarbeitern findet überwiegend im direkten Gespräch, in einmal jährlich stattfindenden Strategietagungen sowie im 2-wöchentlichen JourFixe statt.",Wir müssen unsere Dienstleistung häufig unter Zeitdruck und in Arbeitsspitzen erbringen.,4,0.0,0.0,5r3
2016,"Mit dem Rad zu Arbeit oder durch die Kostenübernahme von Nichtraucherseminaren. Außerdem gibt es kostenloses Obst und kostenlose Getränke für alle. Darüber hinaus kümmert sich [NAME] auch in hohem Maße um gesellschaftliche Belange, welche nicht in direktem Bezug zu den Geschäftsaktivitäten stehen.","So werden beispielsweise einige Kinder aus armen Ländern mittels PLAN-Patenschaften finanziell unterstützt, Sozialeinrichtungen wie die Tafeln oder international tätige Hilfsorganisationen erhalten regelmäßig Sach- und Geldspenden.",1,0.8888888888888888,0.15713484026367724,6r3
2016,"Die interne Kommunikation beginnt mit einer Mitarbeiterveranstaltung. Als Vertreter der [NAME] sollen die Kolleginnen und Kollegen für das Thema Nachhaltigkeit sensibilisiert werden. Dazu sehen wir es als wichtig an, den Betriebs- und Aufsichtsrat in das Nachhaltigkeitsmanagement einzubinden.","Für die Zukunft streben wir ferner eine Stärkung des Stakeholder Dialoges an, sowie die regelmäßige Erstellung eines Nachhaltigkeitsberichtes.",3,0.5555555555555555,0.15713484026367722,7r3
2016,"Die wichtigsten Aspekte bilden die Reduzierung des Flächenverbrauchs, die soziale Verträglichkeit und die Verbesserung der örtlichen Infrastruktur, hauptsächlich durch Revitalisierungen von SB-Märkten und Nahversorgungszentren im Bestand ab. Soweit sinnvoll und möglich sollen gleichzeitig im urbanen Raum neue Potentiale für die Entwicklung von notwendigem Wohnraum geschaffen werden. Im Rahmen von Architektenwettbewerben, kooperativen Moderationsverfahren oder Workshops können Städte, Kommunen und Gemeinden hinzugezogen werden, um ein bestmögliches Ergebnis hinsichtlich der Steigerung der Lebensqualität durch die neuen Objekte gemeinsam zu erarbeiten.","Oberstes Ziel ist es, die Objekte langfristig im eigenen Bestand der Gruppe zu halten und für uns als Eigentümer sowie für die Mieter und Nutzer im Rahmen einer intensiven Bindung eine nachhaltig energieeffiziente Immobilie zu schaffen, die gleichzeitig einen sozialen und städtebaulichen Mehrwert darstellt.",2,0.3333333333333333,0.2721655269759087,8r3
