hat	O
.	O
Welche	O
Fülle	O
von	O
Daten	O
da	O
der	O
Wanderer	O
findet	O
,	O
ergibt	O
sich	O
darau	O
»	O
,	O
daß	O
an	O
3700	O
Kilometer	O
Wege	O
»	O
durch	O
die	O
lohnendsten	O
und	O
'	O
hinsien	O
Gegenden	O
geschildert	O
find	O
.	O
‘	O
DVarat	O
,	O
1	O
Uebelfichi	O
Skarte	O
und	O
iege	O
»	O
durch	O
die	O
lohnendsten	O
und	O
Ein	O
reichhaltiger	O
kartographischer	O
20	O
Sonderkarten	O
im	O
Maßstabe	O
Mitteilungen	O
aus	O
Haus	O
-	O
und	O
Landwirtschaft	O
.	O
*	O
Blätterweidungen	O
zufolge	O
ist	O
das	O
2600	O
Morgen	O
große	O
Ritter	B-LOC
«	I-LOC
gut	I-LOC
Metgenhof	I-LOC
bei	O
Regens	B-LOC
burg	I-LOC
von	O
der	O
Fürstlich	O
reußischen	O
Kammer	O
zu	O
Greiz	B-LOC
an	O
eine	O
Holzgroßhandlung	O
sür	O
800	O
000	O
JC	O
ver	O
äußert	O
worden	O
.	O
*	O
DaS	O
Gut	O
Ujazd	B-LOC
im	O
Kreise	O
Gnesen	B-LOC
,	O
der	O
Familie	O
Palacz	B-PER
,	O
tz	O
der	O
A	O
n	O
»	O
900	O
Morgen	O
,	O
.	O
.	O
.	O
.	O
.	O
.	O
den	O
Morgen	O
Ki	O
.	O
515	O
JC	O
.	O
ES	O
befinden	O
sich	O
nur	O
noch	O
10	O
größere	O
Besitzungen	O
iw	O
Kreise	O
Gnesen	B-LOC
in	O
polnischen	O
Händen	O
.	O
*	O
Wie	O
der	O
Lech	O
berichtet	O
,	O
hat	O
der	O
Wirt	O
Grundkowski	B-PER
seine	O
173	O
Morgen	O
große	O
Wirtschaft	O
in	O
D	B-LOC
z	I-LOC
i	I-LOC
a	I-LOC
d	I-LOC
k	I-LOC
o	I-LOC
w	I-LOC
o	I-LOC
bet	O
Gnesen	B-LOC
sür	O
68	O
000an	O
die	O
Ansiedelung	O
»	O
kowmission	O
verkauft	O
.	O
rwerkS	O
'	O
iüOB	O
taut	O
uzazo	O
im	O
«	O
teilt	O
isncien	O
,	O
ver	O
»	O
an	O
n	O
hörig	O
,	O
ist	O
,	O
wie	O
der	O
Lech	O
berichtet	O
,	O
In	O
den	O
Besitz	O
edelung	O
Skommtssion	O
übergeganaen	O
.	O
Ujazd	B-LOC
ist	O
groß	O
,	O
und	O
der	O
Kaufpreis	O
soll	O
466	O
000	O
JC	O
betragen	O
,	O
sür	O
Zu	O
dem	O
Verkauf	O
des	O
Voi	O
k	O
s	O
Gollantfch	O
an	O
den	O
Polen	O
Malak	B-PER
aus	O
Chawlodno	B-LOC
wäre	O
noch	O
folgendes	O
hinzuzufügen	O
:	O
Dem	O
Landwirt	O
Otto	B-PER
Brach	I-PER
wurden	O
im	O
vorigen	O
Jahre	O
für	O
das	O
280	O
Morgen	O
große	O
Vorwerk	O
150	O
000	O
JC	O
geboten	O
.	O
Da	O
ihm	O
außerdem	O
laut	O
Vereinbarung	O
der	O
Ernteertrag	O
überlasten	O
wurde	O
,	O
der	O
zu	O
mindestens	O
12	O
000	O
JC	O
zu	O
veranschlagen	O
war	O
,	O
so	O
betrug	O
der	O
von	O
der	O
Ansiedlung	O
Skommission	O
tatsächlich	O
gebotene	O
Preis	O
