T931116.95.30	an Boden liegen	literally	Aber noch bei der schlimmsten Demütigung des Sohnes bleibt Kunaths Stimme in tonloser Mittellage . Auch bevor er sich auf den <b>am</b> <b>Boden</b> <b>liegenden</b> Sohn legt und ihn so mit der eigenen Körperfülle ersticken will , kündigt er seine Handlung leise , wie resigniert an : " Jetzt aber mach ich 's kurz . " Dieser Vater ist am gefährlichsten , wenn er sich völlig unter Kontrolle hat , im Suff wird er versöhnlich .
T930617.79.24	an Boden liegen	literally	Bombenflugzeuge steigen auf , um einen " Warlord " in Somalia zu " bestrafen " . Pakistanische Soldaten schießen in eine aufgebrachte Menge von Zivilisten , Frauen und Kinder bleiben tot oder verletzt <b>am</b> <b>Boden</b> <b>liegen</b> - geradezu atavistische Rache für den Mord an 23 UN-pakistanischen Soldaten kurze Zeit zuvor . Es sind grausame Bilder eines Kampfeinsatzes gegen die Zivilbevölkerung .
T930116.80.25	an Boden liegen	figuratively	Selbst eingefleischte Anhänger der Staatsallmacht wie Thomas Hobbes sprachen die Untertanen in dem Augenblick , in dem der Staat sie nicht mehr schützen kann , von ihrer Gehorsamspflicht los . Aber an wen sollen sich die gequälten Staatsbürger wenden , wenn Leviathan <b>am</b> <b>Boden</b> <b>liegt</b> , Behemoth triumphiert und weit und breit kein starker Arm zu sehen ist ? Die religiösen und ethnischen Konflikte , aus denen sich die Mehrzahl der heutigen Bürgerkriege nährten , sind immer älteren Geburtsdatums als die Nationalstaaten .
T900109.100.11	an Boden liegen	literally	Soldaten der Palastwache und Angehörige der " Anti-Gang " , einer Spezialeinheit zur Terrorismusbekämpfung , durchkämmten die Hütten der Slums und sogar die Voodootempel , wo in dieser Nacht die " Guedes " genannten Geister der Toten beschworen wurden . Die Soldaten trieben die verschreckten Anwohner aus ihren Häusern und ließen sie im Gänsemarsch an einem Jeep vorbeidefilieren , neben dem drei mit Handschellen gefesselte Männer <b>am</b> <b>Boden</b> <b>lagen</b> , die von ihren Bewachern mit Kolbenhieben und Fußtritten mißhandelt wurden . Es waren die Gewerkschaftsführer Evans Paul , Etienne Mariono und Jean-Auguste Mesyeux , denen die Regierung vorwarf , Mordanschläge auf den Präsidenten der Republik und den Generalstab der Armee geplant zu haben ; als Beweis für die Verschwörung wurde ein umfangreiches Waffenarsenal präsentiert , das angeblich im Innern des Jeeps sichergestellt , nach Aussagen von Augenzeugen aber von Militärs dort deponiert worden war .
T881105.28.22	an Boden liegen	literally	Zehntausende von Tieren kamen um , viele überlebenden streßgeschädigten Hühner wollen nun keine Eier mehr legen und die Kühe keine Milch mehr produzieren . Das gesamte Regenwaldgebiet an der Costa Atlantica ist gefällt , rund eine Million Kubikmeter Holz <b>liegt</b> <b>am</b> <b>Boden</b> und wird dort wahrscheinlich verfaulend Myriaden von Bakterien nähren , die das empfindliche Ökosystem dieses Waldes vollends zum Zusammenbruch bringen , während andernorts mangels Bergungs- und Transportmöglichkeiten Brennholz und Bretter fehlen werden . Ökologen nehmen an , daß unter diesen Bedingungen viele in jenem Urwald heimischen Tier- und Pflanzenarten aussterben werden .
T901027.235.10	an Boden liegen	literally	Damit entschuldigte sich auch jener Trabi-Fahrer , der beim Rechtsabbiegen in Charlottenburg eine Fahrradfahrerin zu Fall gebracht hatte . Als er ausstieg - die Fahrerin mit aufgeschlagenen Knien und verdrehtem Lenker <b>am</b> <b>Boden</b> <b>liegend</b> - , sagte er zu ihr : » Tja , an Fahrradfahrer müssen wir uns eben erst gewöhnen . Das gab 's bei uns früher ja nicht so .
T961012.252.31	an Boden liegen	literally	Drei nackte Menschen in einem tiefen , blaugrünen Raum . Ein Mann <b>liegt</b> bäuchlings ausgestreckt <b>am</b> <b>Boden</b> , ein anderer kriecht auf Knien an der Wand entlang . Im Vordergrund steht Bernhard Minetti .
T940604.351.39	an Boden liegen	literally	Die GAL hat eine Sondersitzung des Innenausschusses der Bürgerschaft beantragt , um die Polizeiübergriffe während der Kundgebung mit dem Rechtsradikalen Jörg Haider am Montag aufzuklären . Das kündigte gestern der innenpolitische Sprecher der Grünen und " Kritische Polizist " Manfred Mahr an : " Beamte , die wehrlos <b>am</b> <b>Boden</b> <b>liegende</b> Demonstranten mißhandeln , haben in diesem Beruf nichts zu suchen . "
T901212.179.13	an Boden liegen	literally	Als daraufhin die meisten der Anwesenden noch immer nicht bereit war , den Platz , an dem ihre Behausungen unter den Hammer kommen sollten , zu verlassen , ging die mittlerweile mit etlichen Einsatzwagen aufgefahrene Polizei daran , die anwesenden Mieter und Hausbesetzer mit roher Gewalt aus dem Haus zu entfernen . Die seit den Ereignissen in der Mainzer Straße offensichtlich völlig enthemmten Beamten traten dabei noch <b>am</b> <b>Boden</b> <b>liegende</b> Personen - darunter mehrere Frauen - in den Unterleib und schleiften sie an den Haaren aus dem Saal . Immer wieder ergriffen die Uniformierten die den Slogan » Keine Gewalt « skandierenden Protestierer , um sie laut Plettners Anweisung » aus dem Saal zu entfernen « .
T891101.122.4	an Boden liegen	literally	Wer dann die anrückenden zivilen Greiferkommandos sah , wie sie in die Hände spuckend aus ihren Bussen stiegen , wie sie in die von viehisch knüppelnden Spezialeinheiten in Schach gehaltene Menge stürzten , um wahllos welche herauszugreifen und auf die LKWs zu zerren . Wer wie ich gesehen hat , wie eine Frau , die schon minutenlang regungslos <b>am</b> <b>Boden</b> <b>lag</b> , von mehreren Zivilen abwechselnd in den Bauch getreten wurde , wer gesehen hat , wie Einige zwanzig , dreißig Meter an den Haaren übers Pflaster geschleift wurden , für den war Staatsfeindlichkeit von nun an keine Frage der politischen Gesinnung mehr , sondern schlicht eine Frage der Moral . Dabei wurde von den Demonstranten kein einziger Stein geworfen , nicht eine Fensterscheibe ging kaputt , kein Müllkübel kippte um , und kaum ein Autospiegel wurde von den Flüchtenden verbogen .
