id;description;VIO
1056959057675850;In 300 Jahren sind dann alle wieder daheim;False
862030493835375;Zeig dein gesicht Karla!!!!!;False
982735445098212;Grenzen zu machen , hier wird  es noch schlimmer werden;False
935745806463843;Was rauchst Du,haben will!;False
985355744836182;Super ??????;False
945839155454508;Frau Schmidt dann lassen Sie und die Arbeit einstellen das forschen beenden und das was das Land zu dem gemacht hat um überhaupt helfen zu können auch!!!!Was dann Singen sie dann die die kommen satt und bauen Ihnen aus Gedanken Unterkünfte und und und .Leute ihrer Coleur gehören in einen Flieger und nach Syrien verbracht und da können sie ihre Geschichte den dortigen Machthabern erzählen ,Fordern,Demonstrieren und irgend was von es gehört niemanden etwas erzählen.Nur schade das sie uns nicht berichten können was dabei raus kam da sie jetzt nicht mehr leben würden.So viel zu den bösen Mitteleuropäern sie Hitze geblähtes und verwirrtes blanker Guschel.;False
1012243378814085;die ham nur strietzel im kopf, abschaum;False
1007143705990719;Putin wir warten auf deine Hilfe befreie Deutschland von Merkel u den Amerikaner;False
1105423999496022;keine Moscheen mit Minarette! Nur Gebetsräume, zum Glück nur! Bitte, die Yenidze bleibt außen vor. Dass war eine Zigarettenfabrik.;False
1111842592187496;Einfach nur schön, Danke Dresden.;False
1043681942336895;DEUTSCHLAND  die NEUE ZONE --Rechtsfreie Europazone--  Auf die STRASSE gegen diese PSEUDODEMOKRATIE  gegen rotrotgrüne Terroristen und Schmarotzer;True
1052511221453967;Die Linke soll doch für die Bürger nur eine Opposition in der Altparteienkoalition darstellen ... alles Gemache;False
1111994962172259;Harald Bode, das halte ich für ein seltsames Rechtsverständnis.;False
1063918716979884;"Sachsen ist bekannt für seine ""Rechtsradikalität"". Interessanterweise sind dort aber auch die besten Schüler. Die Logik sagt jetzt, je rechtsradikaler ein Land eingestellt  ist, desto schlauer sind seine Schüler.";False
1064188443619578;In der DDR hieß das Gymnasium ,EOS  -Erweiterte Oberschule----Abschluss Abitur.;False
983026578402432;Amel Bajraktarevic Auch so eine Klugscheißerin oder Klugscheißer?;False
1012387245466365;So ist das mit den Linken....bis Mittag pennen und danne RTL....wo soll da Bildung her kommen?;False
993506514021105;Cool , die Demo insgeheim von den RECHTEN organisiert! Ich lach mich weg. Alle NAZIS :) http://www.spiegel.de/wirtschaft/soziales/ttip-bei-der-demo-marschieren-rechte-mit-kommentar-a-1057131.html;False
1105425226162566;"meint: ""Der Islam gehört nicht zu Deutschland""";False
946595778712179;"Moe Mac 
Nini hat nicht geschrieben, dass alle Ausländer ihr an die Wäsche wollen, sondern den Frauen grundsätzlich. Das können viele genau so bestätigen. Und sorry, auch nur eine Belästigung ist eine zu viel. In einer solchen Diskussion das Aussehen anzugreifen, ist niveaulos. Du siehst nicht so aus, als ob gerade Du Dir ein solches Urteil erlauben dürftest. 
Im Übrigen geht es nicht darum, wer deutsch ist und wer nicht, sondern darum wer uns ""bereichert"", indem wir für ihn und seine Angehörigen zahlen dürfen, wer nie vor hat, sich in unserem Land zu integrieren und anzupassen oder wirtschaftlich produktiv zu werden und dann auch noch Forderungen stellt und die, die für ihn aufkommen, anpöbelt und angreift, verbal und physisch. Schon mal dran gedacht, wie vielen Deutschen das Geld monatlich hinten und vorne nicht reicht, die keine Zuschüsse und Zugeständnisse wie die Flüchtlinge bekommen, die keine Wünsche bezüglich der Krankenleistungen äussern dürfen, etc etc etc.";False
862038193834605;Ich freu mich schon drauf :);False
985373451501078;Grüße  aus Österreich...wär jetzt gern bei Euch;False
1065815313456891;"Tanzt auch Du nach der Pfeife der Umerzieher?
Bundeszentrale für politische Bildung: Umerziehung - zur Demokratie und Toleranz.
Durch die BRD-Statthalter. Nach den Vorgaben von Wallstreet und Federal Reserve.
Demokraten - An ihren Früchten sollt Ihr sie erkennen.
https://www.facebook.com/WolfgangRGrunwald/photos/a.743825455643487.1073741828.690003071025726/1337272859632074/?type=3&theater
http://www.gehirnwaesche.info/";False
1063424387029317;Mehr bildung gegen rechts? ^^;False
1069242579780831;Raimond Schäck verwirr mal hier niemanden mit Fakten,wenn die Meinung bereits feststeht;False
947686335269790;Ich denke  das  ganze  hat 2 Seiten  die eine ist es  liegt  es an die  Politiker  die andere die  Harz IV Empfänger  brauchen  sich  noch nicht  mit  die  Flüchtlinge  aus einander setzen. ...ich  vermute es  wird  bald  weniger  Geld geben  ......dann  hört  die schöne Zeit  auch  auf  ....mir lang  es auch schon  wie  mit den  Steuergelder  rausgeworfen wird;False
1152505418121213;Super Anna..... hahaha;False
1012272148811208;Das wird mal eine richtig dreckige welt;False
1011311555573934;So ist es Silvia. Die meissten sagen dass sie für ihre Kinder in erster Linie dort stehen, genauso wie ich. Und das soll also verwerflich sein? Armes Deutschland....was ist bloß aus dir geworden.....;False
1065933686778387;sachsen hat die höchste politische bildung, ihr linksgrünen terroristen. was sachsen wirklich braucht.....unterstützung aller normal denkenden deutschen. weiterhin kann sachsen auf politische brandstiftung der altparteien verzichten. alle altparteien sind volksverräter. das hotel in bautzen hat ganz sicher nicht das volk angezündet.;False
1088831171155305;"Ein sehr liberaler und besonnener Freund aus Holland beschrieb mir kürzlich das Land als ""Pulverfass"", das jederzeit explodieren könne.";False
861971160507975;Friedenstag wäre auch nicht schlecht: http://europaobjektiv.com/nachrichten/nachrichten_627.html;False
1010173959021027;Frau buergermeister duerfte fordern. ....so ist es geschwaetz;False
1055274901177599;Versteh ich auch nicht.sind die so dumm oder warum machen die das?;False
1043677555670667;"Rüsten die Sachsen in diesen vermeintlich unsicheren Zeiten auf? Der Sächsische Schützenbund (SSB) verzeichnet einen satten Mitgliederzuwachs. Gleichzeitig versuchen immer mehr Sachsen, an erlaubnispflichtige Schusswaffen heranzukommen…

https://mopo24.de/#!nachrichten/ansturm-schuetzenvereine-boomen-die-sachsen-ruesten-auf-41285";False
876381335733624;DIE BA IST SEHR SCHÄDLICH;False
1010731142298642;Bürgerbewegung PRO NRW Sonntag Demo in Köln;False
876259369079154;Vielleicht sollte sich die BA mal lieber um die Leute kümmern die in Deutschland gar nicht arbeiten wollen. Und vielleicht sollte man endlich mal mehr in die Bildung unserer Kinder investieren, denn das wurde ja die letzten Jahre verschlafen.;False
1134116153293473;empfehle eine S Bahnfahrt abends in München oder Hamburg oder Berlin ! Da gibt es reichlich Gelegenheit, reizende junge Herren, die auch gerne in Gruppen von 4-6 Mann auftreten, richtig nahe kennen zulernen.  Vor allem für abenteuerlustige Damen eine prickelnde neue Erfahrung mit der kulturellen Vielfalt des nahen Ostens !;False
935325416505882;Mensch Leute... Ihr macht es dem Josh, Schuldigung, dem Herrn McAllen aber leicht für sein Uniprojekt....;False
1069269359778153;Was ist es;False
855156791189412;Herzlichen Glückwunsch;False
1011310092240747;"Sehr geehrter Herr Bue, ich kann sehr wohl sachlich argumentieren. Ich ertrage es nur nicht, dass Menschen die Angst und Befürchtungen vor Terrorismus mit ""Nazitum"" gleichsetzen und die vielen Leute, die dagegen auf die Straße gehen, in die rechte Ecke stellen. Waren Sie schon einmal bei einer Pegida Veranstaltung? Würde Ihnen das einmal empfehlen und dort auch mal mit Teilnehmern sprechen, welche Gründe sie haben, dort zu sein. Und übrigens, ich stehe auch täglich vor 4 Uhr auf.";False
1105511259487296;Na klar, ganz sicher.... und Claudia Roth wird Kanzlerin !;False
882681125103645;ich würde mir mal schnell eine neue wohnung/haus suchen. oder ein schweres MG.;True
1064445596927196;du spricht mir aus der Seele;False
1007130569325366;Die Amis Bomben ganze Regionen in die Steinzeit ganz ohne Eigeninteresse. Die tun das aus humanitären Gründen. Go Russia go;True
1134199816618440;"Ich sage nur; Scheiterhaufen";False
1035140836524339;Wir werden hier bald andere Hymen singen.;False
861995590505532;Karla du Fake, heul leise!;False
876349402403484;Die Arbeitstagentur hat sich gefälligst aus der Politik raus zu halten.;False
935279049843852;"Was heißt denn hier ""krallt sich""?? Was heißt denn hier ""Top-Salafist""? Die Journalisten spinnen wirklich. Beide Begriffe transportieren eine unterschwellige verständnisvolle Wertung, die im Kampf gegen den Terror nichts zu suchen hat!!";False
876605902377834;Hier in Deutschland sprechen die wenigste die Probleme an welche hier herschen!!!!;False
1095982057106883;Unklar, da bekommt man Angst! Die sind nur am fordern, fordern, fordern!;False
945838048787952;Hat Jemand schon mal hinterfragt wovon diese bunten Kreaturen leben, wer für ihren Unterhalt aufkommt usw? Wer entschädigt die Opfer (Bestohlene, Ausgeraubte, Vergewaltigte und Ermordete)?;False
883215571716867;Nico Oelke;False
1065860843452338;Sachsen braucht weniger illegalen abfall;False
991241800914243;Sieht mir fast danach aus, als würde heute selbst der MDR eingestehen müssen, dass es 1-2-3 mehr Menschen sind als 7000;False
1055076691197420;"""Wir schaffen das"", wird Aysche Ferkel auch hier wieder sagen! Zum kotzen!!!";False
982751808429909;Das ist ja wohl nicht mehr auszuhalten !!!  Das sind 80 DEUTSCHE  Schicksale, das tut mir leid für diese Leute. Danke für die Info.;False
982703851768038;"Napoleon I. (Napoleon Bonaparte) (1769-1821), Kaiser der Franzosen: “Es gibt kein gutmütigeres, aber auch kein leichtgläubigeres Volk als das deutsche. Zwiespalt brauchte ich unter ihnen nie zu säen. Ich brauchte nur meine Netze auszuspannen, dann liefen sie wie ein scheues Wild hinein. Untereinander haben sie sich gewürgt, und sie meinten ihre Pflicht zu tun. Törichter ist kein anderes Volk auf Erden. Keine Lüge kann grob genug ersonnen werden: die Deutschen glauben sie. Um eine Parole, die man ihnen gab, verfolgten sie ihre Landsleute mit größerer Erbitterung als ihre wirklichen Feinde.” 

So freunde der sonne.....sind wir nicht selber schuld???? Ständig eine Partei gewählt zu haben die sich christlich nennt CDU-CSU oder garnicht gewählt zu haben. ....komisch das christliche feiertage abgesetzt werden....komisch das wir uns anpassen müssen...(türkisch unterricht-weihnachten nicht mehr öffentlich) und etc und etc.und jetzt diese offensichtliche Unterwanderung bzw. Invasion. .....aber die hat ja schon lange begonnen........das sind keine flüchtlinge. .das sind armeen......";False
1111329082238847;1 schritt in die richtige Richtung.;False
862125047159253;der ist ein Teil von dem unsere Kanzlerin meint es gehöre zu uns!;False
1111902865514802;ob die wissen wie teuer ein überziehungs kredit ist und ob der staat weis bzw bank weis das sie das geld nicht wieder bekommen.;False
1012964705408619;Wie weit sind wir gekommen wenn alle fordern dürfen nur wir nicht ...!?;False
925375454167545;"Ja, Epoch Times gehört wahrlich nicht zur "" Lügenpresse""";False
985354361502987;Dresden- Sachsen bleibt in deutscher Hand (Y);False
1106453959393026;"In meinem Kommentar steht ""respektieren"", aber anscheinend lesen Sie alles sehr aufmerksam. Ich empfehle Ihnen die Seite  Die besorgte Bürgerin. Viel Erfolg noch mit ihrer ""Meinung"".";False
877945832243841;Du Denkst zu weit!Bist wohl ein Nazi???;False
876862415685516;Oh liebe ARBEITSAGENTUR, ich könnte EUCH Seitenweise aufzählen was in EUERM Laden alles so läuft was viel schädlicher ist  ....;False
1064310960273993;Mit Sicherheit !;False
862001143838310;ne dann hat man Kacka in der Büchs :D;False
989386511099772;Hört euch mal das Gequatsche der Grünen im ZDF an , Frau Göring  hat einen Knall;False
882716128433478;Sehe ich auch so. Diese Typen bewirken nur eines. Pegida zu bremsen ohne die wären wir vielleicht schon weiter.;False
876303062408118;Oh ja;False
1043687465669676;"Es wäre angebracht, einen solchen ""Prozess"" als Bühne zu nutzen. Leider (oder zum Glück!) werden diejenigen, die einen solchen Prozeß anstrengen, eher Geschichte sein, als unsere Gerichte zeitgemäß arbeiten können. Schade!";False
855034087868349;mehr als lustig;False
1064373996934356;Ich bin ein Sachse und bin Stolz da rauf auch wen ich in den Schand Fleck von Deutschland wohne !!!?;False
1095973387107750;Einfach nur zum KOTZEN;False
1010301919008231;"Was erwartet man von 
MDR";False
855051134533311;Ich amüsiere mich echt köstlich ??????;False
1096049613766794;Das habe ich bereits gemacht und gute Erfahrungen damit gemacht es sind auch sehr nette hilfsbereite Menschen dabei (einfach ein normales Volk wie wir auch!)! naja das kommt mir einfach vor und hört sich so gut an das sie ihr eigenes Land aufbauen sollen. Aber wen sollen sie Unterstützen das es zu einer guten Lösung kommt? es gibt dort so viele Kriegsparteien das da normale Leute einfach irgendwo dazwischen stehen würden und keine Chance hätten. Also lasst uns Lieber eine vernünftige Lösung suchen mit der alle Leben/ überleben können.  P.s. in jedem Krieg gibt es Kriegsflüchtlinge das ist normal es ist nur die Frage wie man damit umgeht. Achso die Forderungen der Flüchtlinge sind in erster Linie leben/ überleben und das kann man doch gewährleisten!!;False
1035359973169092;Warte noch eine weile auch im Westen werden sie irgendwann wach vieleicht jetzt ?? Köln Hamburg;False
1012476072124149;"zu Dresden .Stellt euch mal vor ,was der Tourismus- Chef von Dresden inder Sächsischen Zeitung vom 14/15 11. 2015 von sich gibt. Wörtlich:"" aus dem sympathischen Vorzeigeland Sachsen  und seiner wegen ihrer Schönheit gepriesenen Landeshauptstadt wurde innerhalb kurzer Zeit in der öffentlichen Wahrnehmung eine hässliche Nazihochburg"" .angeblich abgeschreckt von den wöchentlichen Montagsdemonstrationen bleiben deutsche Gäste fern, und dresden habe einen enormen Imageschaden erlitten.";False
962267000478390;"""Gemäß Informationen eines Mitarbeiters des „österreichischen Abwehramts“ sollen Erkenntnisse darüber vorliegen, dass US-Organisationen die Schlepper bezahlen, welche täglich tausende Flüchtlinge nach Europa bringen"" - schreibt info-direkt.at.."" genau diese Quelle wurde von Epochtimes übernommen. Und genau diese habe ich kritisiert. So what? Halten wir fest: Info-direkt.at stellt eine Behauptung auf, die nach kurzem googeln nicht stimmt. daraufhin verweisen sie auf eine andere Quelle, die aber - so steht es bereits im allerersten Absatz - von eben dieser von mir kritisierten Quelle stammt. Auf das Video habe ich kein Zugriff (""Der von dir angeklickte Link ist abgelaufen oder die Seite ist nur für eine Zielgruppe sichtbar, in der du nicht enthalten bist.""";False
945361605502263;Wie beim Honecker. Der hat auch Millionen veruntreut und damit die DKP finanziert.;False
1070329853005437;Seid;False
991552170883206;"Jetzt versuchen die Medien wieder verzweifelt die Teilnehmer zahlen niedrig zu halten. 
Ha ha ha";False
1111630728875349;Wo ist Tatjana? ????;False
1111319508906471;Na das nenne ich doch mal gelungene Integration, dann geht es denen genau so wie sehr vielen deutschen Mindestlohn Verdienern und Rentnern , die haben auch kaum einen Cent in der Tasche , noch nicht mal 340,-€ Taschengeld !!!!!!!;False
1065845263453896;Ja genau.... damit sie besser über unsere korrupte Regierung aufgeklärt werden......;False
